assessment_date,basements,building_code,category_code,census_tract,central_air,date_exterior_condition,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,fuel,garage_spaces,garage_type,general_construction,homestead_exemption,house_extension,interior_condition,market_value,market_value_date,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,off_street_open,parcel_shape,quality_grade,recording_date,sale_date,sale_price,separate_utilities,sewer,site_type,taxable_building,taxable_land,topography,total_area,total_livable_area,type_heater,unfinished,utility,view_type,year_built,year_built_estimate,zip_code,zoning,building_code_new,lat,lng
2022-05-24,,RB   ,6,381.0,,,135.0,0.0,105300.0,,,60.0,,,,,0,62.0,,105300.0,,,,,,162.0,E,,2071-01-14,2070-12-30,1.0,,,,0.0,0.0,F,8100.0,,,,,I,,,19137.0,IRMX,,40.01058673201764,-75.06711905408577
2022-05-24,,SR   ,6,151.0,,,52.0,0.0,0.0,,,16.0,,,,,0,,,34700.0,,,,,,2078.0,E,,2071-01-11,2071-01-11,1.0,,,,0.0,34700.0,F,832.0,,,,,I,,,19121.0,RSA5,,39.986389456643934,-75.17495145086316
2022-05-24,,U50  ,2,147.0,,,100.0,329760.0,82440.0,4.0,0.0,16.0,,0.0,,A ,0,,4.0,412200.0,,0.0,0.0,,1.0,1235.0,E,B-,2071-01-04,2071-01-04,16200.0,,,,0.0,0.0,F,1600.0,2540.0,,,,I,1890.0,,19121.0,RM1,22,39.97988749937635,-75.16068152494117
2022-05-24,,SS   ,6,,,,147.0,0.0,378900.0,,,517.0,,,,,0,,,378900.0,,,,,,,B,,2071-01-04,2071-01-04,1.0,,,,0.0,0.0,F,71116.0,,,,,I,,,,,,,
2022-05-24,,RB   ,6,381.0,,,120.0,0.0,581700.0,,,373.0,,,,,0,50.0,,581700.0,,,,,,162.0,E,,2070-12-31,2070-12-31,1.0,,,,0.0,0.0,F,44743.0,,,,,,,,19137.0,IRMX,,40.0104645516474,-75.06806778754998
2022-05-24,,PB0  ,4,382.0,,,78.0,0.0,0.0,,,141.0,,,,C ,0,,,118600.0,,,,,,2938.0,A,C+,2070-12-12,2070-12-12,1.0,,,,35550.0,83050.0,A,16446.0,2800.0,,,,E,1960.0,,19124.0,I1,223,40.00260647983586,-75.0980857553792
2022-05-24,,Y50  ,3,377.0,,,144.0,118560.0,29640.0,,,20.0,,,,A ,0,,,148200.0,,,,,,400.0,E,C ,2070-11-20,2070-11-20,1.0,,,,0.0,0.0,F,2884.0,2280.0,,,,I,1920.0,,19122.0,CMX2,819,39.984029430265096,-75.14443878965186
2022-05-24,D,U30  ,2,136.0,,,78.0,311700.0,0.0,3.0,0.0,16.0,,2.0,,A ,0,,3.0,580500.0,,0.0,0.0,,2.0,2633.0,A,C+,2070-11-18,2070-11-18,1.0,,,,152700.0,116100.0,F,1244.0,1280.0,H,,,I,1935.0,Y,19130.0,RSA5,24,39.97172342511413,-75.1812063295909
2022-05-24,,RA   ,6,17.0,,,58.0,0.0,156100.0,,,19.0,,,,,0,,,156100.0,,,,,,131.0,E,,2070-11-18,2070-11-18,8000.0,,,,0.0,0.0,F,1073.0,,,,,I,,,19147.0,RM1,,39.93764653943494,-75.15148652928151
2022-05-24,,RA   ,6,158.0,,,68.0,0.0,457600.0,,,36.0,,,,,0,15.0,,457600.0,,,,,,94.0,E,,2070-11-13,2070-11-13,15000.0,,,,0.0,0.0,F,2448.0,,,,,,,,19125.0,SPPOA,,39.97205910947201,-75.1269919839497
2022-05-24,,SI   ,6,383.0,,,71.0,0.0,0.0,,,15.0,,,,,0,,,40300.0,,,,,,837.0,E,,2070-11-10,2070-11-10,1.0,,,,0.0,40300.0,F,1058.0,,,,,,,,19140.0,ICMX,,40.00977847653194,-75.13558638376523
2022-05-24,,O30  ,1,169.0,,,44.0,32000.0,8000.0,4.0,0.0,14.0,,0.0,,A ,0,,4.0,40000.0,,1.0,3.0,,2.0,982.0,E,C+,2070-10-28,2070-10-28,1.0,,,,0.0,0.0,F,609.0,840.0,,,,I,1915.0,Y,19132.0,RSA5,22,39.99127902591988,-75.17417055547156
2022-05-24,,Y30  ,3,175.0,,,69.0,0.0,0.0,,,16.0,,,,A ,0,,,117800.0,,,,,,1541.0,E,C+,2070-10-28,2070-10-28,1.0,A,,,94240.0,23560.0,F,1096.0,2984.0,,,,I,1925.0,,19133.0,CMX2,820,39.99984338662155,-75.1407602338499
2022-05-24,,SC   ,6,163.0,,,60.0,0.0,0.0,,,16.0,,,,,0,,,13100.0,,,,,,1411.0,E,,2070-10-15,2070-10-15,1.0,,,,0.0,13100.0,F,960.0,,,,,I,,,19133.0,RSA5,,39.987868951751246,-75.1333532688513
2022-05-24,,PB0  ,4,248.0,,,140.0,0.0,0.0,,,50.0,,,,A ,0,39.0,,267100.0,,,,,,205.0,E,C ,2070-10-10,2070-10-10,1.0,,,,213679.0,53421.0,F,7000.0,7000.0,,,,I,1925.0,,19138.0,RM1,223,40.04807650818292,-75.16265076644295
2022-05-24,,SI   ,6,163.0,,,44.0,0.0,0.0,,,12.0,,,,,0,,,5400.0,,,,,,2186.0,E,,2070-10-09,2070-10-09,1.0,,,,0.0,5400.0,F,532.0,,,,,,,,19133.0,ICMX,,39.99014272783557,-75.13345058287877
2022-05-24,,SC   ,6,175.0,,,87.0,0.0,29000.0,,,15.0,,,,,0,,,29000.0,,,,,,1356.0,E,,2070-10-05,2070-10-05,1.0,,,,0.0,0.0,F,1305.0,,,,,I,,,19133.0,CMX2,,39.99476670728605,-75.14684874664344
2022-05-24,,SR   ,6,149.0,,,90.0,0.0,79500.0,,,14.0,,,,,0,,,79500.0,,,,,,1650.0,E,,2070-10-05,2070-10-05,1.0,,,,0.0,0.0,F,1260.0,,,,,I,,,19121.0,RSA5,,39.98348104451905,-75.18459118586222
2022-05-24,,SR   ,6,149.0,,,68.0,0.0,4800.0,,,15.0,,,,,0,,,4800.0,,,,,,1083.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,1017.0,,,,,I,,,19121.0,CMX1,,39.983004423445045,-75.18017874013316
2022-05-24,,SR   ,6,149.0,,,49.0,0.0,44600.0,,,16.0,,,,,0,,,44600.0,,,,,,1259.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,784.0,,,,,I,,,19121.0,RSA5,,39.98176564044283,-75.18097192864361
2022-05-24,,SR   ,6,149.0,,,65.0,0.0,64500.0,,,15.0,,,,,0,,,64500.0,,,,,,1575.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,975.0,,,,,I,,,19121.0,RSA5,,39.98193616085968,-75.18162204164997
2022-05-24,,SR   ,6,149.0,,,68.0,0.0,4900.0,,,15.0,,,,,0,,,4900.0,,,,,,1083.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,1042.0,,,,,I,,,19121.0,CMX1,,39.98304484516649,-75.18017071835037
2022-05-24,,SC   ,6,145.0,,,51.0,0.0,18400.0,,,15.0,,,,,0,,,18400.0,,,,,,307.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,743.0,,,,,I,,,19122.0,RSA5,,39.973343174063366,-75.14895930597062
2022-05-24,,SR   ,6,152.0,,,100.0,0.0,53600.0,,,15.0,,,,,0,,,53600.0,,,,,,1974.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,1500.0,,,,,I,,,19121.0,RSA5,,39.98345991300896,-75.16637148427117
2022-05-24,,SR   ,6,151.0,,,42.0,0.0,32800.0,,,14.0,,,,,0,,,32800.0,,,,,,1643.0,E,,2070-09-30,2070-09-30,1.0,,,,0.0,0.0,F,591.0,,,,,I,,,19121.0,RSA5,,39.9838823837072,-75.17899743508293
